,Year,CDZ.TO_start,CDZ.TO_end,CDZ.TO_div,XIU.TO_start,XIU.TO_end,XIU.TO_div,XDV.TO_start,XDV.TO_end,XDV.TO_div,XTR.TO_start,XTR.TO_end,XTR.TO_div,ZEB.TO_start,ZEB.TO_end,ZEB.TO_div,FIE.TO_start,FIE.TO_end,FIE.TO_div
0,2011,20.760000228881836,21.309999465942383,0.6880000000000002,19.209999084472656,17.06999969482422,0.44299999999999995,20.600000381469727,20.559999465942383,0.8120000000000002,12.109999656677246,12.140000343322754,0.6880000000000002,16.860000610351562,16.559999465942383,0.591,6.889999866485596,6.21999979019165,0.4799999999999999
1,2012,21.489999771118164,22.440000534057617,0.7240000000000002,17.469999313354492,17.920000076293945,0.482,20.799999237060547,21.43000030517578,0.9059999999999998,12.180000305175781,12.40999984741211,0.7240000000000002,16.809999465942383,18.31999969482422,0.6240000000000001,6.269999980926514,6.599999904632568,0.4799999999999999
2,2013,22.690000534057617,24.579999923706055,0.8549999999999999,18.06999969482422,19.690000534057617,0.529,21.479999542236328,24.440000534057617,0.9609999999999999,12.4399995803833,11.9399995803833,0.8549999999999999,18.3700008392334,21.31999969482422,0.6680000000000001,6.610000133514404,7.110000133514404,0.4799999999999999
3,2014,24.489999771118164,26.920000076293945,0.8099999999999998,19.649999618530273,21.469999313354492,0.5690000000000001,24.299999237060547,24.959999084472656,0.9599999999999999,11.9399995803833,11.989999771118164,0.8099999999999998,21.239999771118164,23.5,0.7300000000000002,7.099999904632568,7.300000190734863,0.4799999999999999
4,2015,27.0,22.959999084472656,0.9209999999999998,21.68000030517578,19.219999313354492,0.613,25.15999984741211,20.860000610351562,0.9929999999999997,12.010000228881836,10.579999923706055,0.9209999999999998,23.600000381469727,21.299999237060547,0.7879999999999998,7.340000152587891,6.460000038146973,0.4799999999999999
5,2016,22.739999771118164,26.649999618530273,1.008,19.079999923706055,22.639999389648438,0.45399999999999996,20.770000457763672,24.700000762939453,0.9659999999999999,10.539999961853027,11.319999694824219,1.008,21.09000015258789,26.850000381469727,0.9279999999999998,6.389999866485596,7.28000020980835,0.4799999999999999
6,2017,26.790000915527344,27.0,0.9959999999999998,22.809999465942383,24.149999618530273,0.624,24.860000610351562,26.399999618530273,0.9629999999999999,11.34000015258789,11.449999809265137,0.9959999999999998,27.059999465942383,29.709999084472656,0.8959999999999998,7.329999923706055,7.639999866485596,0.4799999999999999
7,2018,27.079999923706055,23.639999389648438,1.1109999999999998,24.260000228881836,21.6200008392334,0.688,26.3799991607666,22.09000015258789,1.086,11.4399995803833,10.4399995803833,1.1109999999999998,29.709999084472656,26.200000762939453,0.9539999999999998,7.619999885559082,6.5,0.4799999999999999
8,2019,23.690000534057617,28.56999969482422,1.131,21.6299991607666,25.559999465942383,0.7330000000000001,22.139999389648438,25.649999618530273,1.0799999999999998,10.4399995803833,11.15999984741211,1.131,26.34000015258789,29.299999237060547,1.0699999999999998,6.480000019073486,7.21999979019165,0.4799999999999999
9,2020,28.489999771118164,26.510000228881836,1.0559999999999998,25.6299991607666,26.06999969482422,0.7890000000000001,25.68000030517578,24.229999542236328,1.159,11.180000305175781,10.789999961853027,1.0559999999999998,29.3700008392334,28.940000534057617,1.0999999999999999,7.230000019073486,6.760000228881836,0.4799999999999999
10,2021,26.489999771118164,29.18000030517578,0.158,26.219999313354492,28.450000762939453,0.194,24.15999984741211,27.399999618530273,0.178,10.800000190734863,11.109999656677246,0.158,28.8799991607666,33.755001068115234,0.2,6.730000019073486,7.599999904632568,0.08
